Application_id,Submission_date,District_id,District_name,Proposed_use,max_storeys,residential_units,non_residential_gfa_m2,inside_mtsa,mtsa_corridor,Distance to Transit (meter),approval_score,synthetic_approval,,,,
OZ 25 20,10/21/2025,1,Lakeview / Port Credit,Residential Semi-Detached,,2,0,0,Not within a Major Transit Station Area.,400,65,1,,,,
SP 19 134,11/5/2019,2,Port Credit / Clarkson,Office,1,0,10190.2,0,Not within a Major Transit Station Area.,351,55,0,,,,
SP 24 34,10/16/2024,5,Malton / Northeast,Industrial General,1,0,4896.54,0,Not within a Major Transit Station Area.,112,65,1,,,,
SPM 17 175,11/13/2017,5,Malton / Northeast,Industrial Heavy,,0,257,0,Not within a Major Transit Station Area.,314,65,0,,,,
SP 20 80,7/30/2020,1,Lakeview / Port Credit,Industrial General,1,0,3512,1,Dundas BRT,291,90,0,,,,
SP 24 51,11/26/2024,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,4,12,225,1,Lakeshore BRT,110,98,1,,,,
SP 25 24,4/9/2025,8,Erin Mills,Automotive Service Commercial,,0,158.8,0,Not within a Major Transit Station Area.,129,65,1,,,,
SP 25 18,3/17/2025,5,Malton / Northeast,Industrial General,,0,296.3,0,Not within a Major Transit Station Area.,50,65,1,,,,
SP 25 22,9/28/2020,3,Rathwood / Applewood,Office,,0,915,0,Not within a Major Transit Station Area.,65,65,1,,,,
SP 20 22,2/14/2020,7,Meadowvale,School,,0,630.41,1,Dundas BRT,72,90,1,,,,
SP 24 24,8/20/2024,6,Central Erin Mills,Industrial General,1,0,33131,0,Not within a Major Transit Station Area.,209,55,0,,,,
SP 25 42,8/13/2025,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,47,518,1881.6,1,Hurontario LRT,247,100,0,,,,
SP 25 60,11/10/2025,5,Malton / Northeast,Industrial General,,0,854.6,0,Not within a Major Transit Station Area.,470,65,1,,,,
SP 25 40,7/30/2025,8,Erin Mills,General Retail Commercial,,0,4422.29,0,Not within a Major Transit Station Area.,157,65,0,,,,
SP 25 9,2/27/2025,7,Meadowvale,Residential Apartments,14,255,0,1,Dundas BRT,137,100,1,,,,
SP 25 66,12/12/2025,2,Port Credit / Clarkson,General Retail Commercial,,0,1299,1,Dundas BRT,69,90,1,,,,
OZ/OPA 22 31,12/22/2022,2,Port Credit / Clarkson,Residential Apartments; General Retail Commercial,,1237,2386,1,Lakeshore W GO,150,100,1,,,,
SP 21 102,6/24/2021,7,Meadowvale,Residential Apartments; General Retail Commercial,28,338,235,1,Hurontario LRT,147,100,1,,,,
SP 24 13,4/15/2024,3,Rathwood / Applewood,Office; Industrial General,1,0,10974.5,1,403 BRT,555,80,1,,,,
SP 19 59,5/7/2019,5,Malton / Northeast,Industrial General,,0,55740,0,Not within a Major Transit Station Area.,390,55,0,,,,
SP 25 33,6/17/2025,6,Central Erin Mills,General Retail Commercial,2,0,6853.49,1,Dundas BRT,185,90,1,,,,
SP 20 62,6/4/2020,5,Malton / Northeast,Office,4,0,12181,1,403 BRT,160,90,1,,,,
SP 25 47,9/11/2025,3,Rathwood / Applewood,General Retail Commercial; Office,,0,2224.63,1,403 BRT,134,90,0,,,,
SP 25 50,9/24/2025,9,Meadowvale Village,Office; Industrial General,,0,5941.61,0,Not within a Major Transit Station Area.,255,65,1,,,,
OZ/OPA 24 2,2/12/2024,11,Streetsville,Residential Detached; Residential Semi-Detached; General Retail Commercial,,4,374,0,Not within a Major Transit Station Area.,214,73,1,,,,
SP 25 11,2/28/2025,3,Rathwood / Applewood,Residential Apartments,6,283,0,0,Not within a Major Transit Station Area.,150,75,0,,,,
SP 25 26,5/8/2025,3,Rathwood / Applewood,Residential Apartments,8,70,0,1,403 BRT,120,95,1,,,,
SP 25 57,10/28/2025,5,Malton / Northeast,Office,,0,20643.51,1,Hurontario LRT,100,90,1,,,,
SP 23 19,12/20/2023,7,Meadowvale,Residential Townhouses,3,148,0,1,Hurontario LRT,118,90,1,,,,
SP 22 119,8/24/2022,11,Streetsville,Residential Detached; Residential Apartments,6,125,0,0,Not within a Major Transit Station Area.,75,70,1,,,,
SP 25 34,6/30/2025,8,Erin Mills,Automotive Service Commercial,,0,463.8,1,Dundas BRT,91,90,1,,,,
OZ/OPA 22 19,8/17/2022,7,Meadowvale,Residential Apartments; General Retail Commercial,,2224,21177.8,1,Hurontario LRT,76,100,1,,,,
SP 19 141,11/29/2019,6,Central Erin Mills,General Retail Commercial,3,0,1270.88,0,Not within a Major Transit Station Area.,313,65,0,,,,
SP 25 29,5/20/2025,3,Rathwood / Applewood,Residential Apartments,12,251,0,0,Not within a Major Transit Station Area.,58,75,0,,,,
SP 25 62,11/24/2025,5,Malton / Northeast,Office; Industrial General,,0,6759,0,Not within a Major Transit Station Area.,402,65,0,,,,
SP 25 51,10/1/2025,5,Malton / Northeast,Industrial General,,0,1224.04,0,Not within a Major Transit Station Area.,80,65,0,,,,
OZ/OPA 22 18,8/17/2022,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,,543,750,1,Dundas BRT,106,100,1,,,,
SP 20 28,3/4/2020,5,Malton / Northeast,Residential Apartments; General Retail Commercial,23,577,1270.6,1,Hurontario LRT,64,100,1,,,,
SP 21 130,8/11/2021,1,Lakeview / Port Credit,Residential Townhouses; Residential Apartments,19,484,0,0,Not within a Major Transit Station Area.,254,75,1,,,,
SP 22 60,4/25/2022,7,Meadowvale,Residential Apartments; General Retail Commercial; Office,72,2648,3456,1,Hurontario LRT,35,100,1,,,,
SP 21 31,3/9/2021,5,Malton / Northeast,General Retail Commercial,,0,4728.18,0,Not within a Major Transit Station Area.,225,65,1,,,,
SP 22 8,1/17/2022,5,Malton / Northeast,Office,5,0,5907.83,0,Not within a Major Transit Station Area.,36,65,0,,,,
OZ/OPA 25 16,11/17/2025,8,Erin Mills,Residential Townhouses,,95,0,0,Not within a Major Transit Station Area.,185,65,0,,,,
SP 20 117,10/19/2020,5,Malton / Northeast,Industrial General,2,0,1446.2,0,Not within a Major Transit Station Area.,242,65,0,,,,
OZ/OPA 24 13,11/19/2024,1,Lakeview / Port Credit,Residential Townhouses,,9,0,1,Hurontario LRT,61,90,1,,,,
OZ/OPA 21 5,5/27/2021,7,Meadowvale,Residential Apartments,,148,0,1,Hurontario LRT,77,90,1,,,,
SP 25 13,2/28/2025,8,Erin Mills,Residential Apartments,15,344,0,0,Not within a Major Transit Station Area.,166,75,1,,,,
SP 25 52,10/9/2025,3,Rathwood / Applewood,Office; Industrial General,,0,2711.59,1,403 BRT,337,90,1,,,,
SP 25 6,2/25/2025,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,23,362,340.88,1,Hurontario LRT,29,100,1,,,,
OZ/OPA 21 16,11/17/2021,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,,147,625.8,0,Not within a Major Transit Station Area.,43,73,0,,,,
SPM 22 163,12/22/2022,4,Mississauga Valleys,General Retail Commercial,,0,677,1,Hurontario LRT,68,90,1,,,,
SP 24 36,10/25/2024,9,Meadowvale Village,Industrial General,,0,24688.05,0,Not within a Major Transit Station Area.,165,55,0,,,,
OZ/OPA 21 15,11/4/2021,10,Lisgar,Residential Townhouses; Residential Apartments; General Retail Commercial,,1244,650,0,Not within a Major Transit Station Area.,162,78,1,,,,
SP 25 21,5/20/2020,7,Meadowvale,Residential Apartments; General Retail Commercial,,460,818,1,Hurontario LRT,30,100,1,,,,
SP 20 67,6/24/2020,6,Central Erin Mills,Residential Other Multiples,5,124,0,0,Not within a Major Transit Station Area.,91,65,1,,,,
SP 25 61,11/13/2025,3,Rathwood / Applewood,Residential Other Multiples,5,128,0,1,Dundas BRT,119,90,1,,,,
SP 22 161,12/19/2022,9,Meadowvale Village,General Retail Commercial,4,0,15210,0,Not within a Major Transit Station Area.,136,55,1,,,,
SP 24 52,11/27/2024,11,Streetsville,Industrial General,1,0,107992,0,Not within a Major Transit Station Area.,188,55,1,,,,
SP 24 39,10/30/2024,2,Port Credit / Clarkson,Office,2,0,1142.55,0,Not within a Major Transit Station Area.,106,65,0,,,,
OZ/OPA 25 11,6/11/2025,8,Erin Mills,Residential Apartments; General Retail Commercial,,156,1063.85,1,Dundas BRT,118,98,1,,,,
SP 24 12,4/15/2024,3,Rathwood / Applewood,Office; Industrial General,1,0,18795.71,1,403 BRT,498,90,1,,,,
SP 22 82,6/13/2022,1,Lakeview / Port Credit,Residential Townhouses; Residential Apartments,,365,0,1,Lakeshore BRT,394,95,1,,,,
OZ 25 17,8/11/2025,1,Lakeview / Port Credit,Residential Apartments,,898,0,0,Not within a Major Transit Station Area.,372,70,1,,,,
OZ/OPA 25 15,7/8/2025,8,Erin Mills,General Retail Commercial,,0,2051.37,0,Not within a Major Transit Station Area.,80,65,1,,,,
SP 19 144,12/10/2019,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,52,747,1661,1,Hurontario LRT,74,100,1,,,,
SP 22 145,10/26/2022,7,Meadowvale,Residential Apartments; General Retail Commercial; Community/Cultural,55,889,1232,1,Hurontario LRT,98,100,1,,,,
OZ/OPA 21 1,2/22/2021,5,Malton / Northeast,General Retail Commercial; Office,,0,28859,1,Hurontario LRT,158,90,1,,,,
